cnpj_raiz;razao_social_ibama;uf;ultimo_rapp;escopo;detalhe_declarado
05013038;"2R QUÍMICA LTDA";RIO GRANDE DO SUL;2022;dentro;"Produção de substâncias e fabricação de produtos químicos"
44186763;"3R POTIGUAR S.A.";RIO GRANDE DO NORTE;2025;dentro;"Fabricação de produtos derivados do processamento de petróleo, de rochas betuminosas e da madeira"
03422719;"3R QUÍMICA LTDA";SAO PAULO;2022;dentro;"Fabricação de preparados para limpeza e polimento, desinfetantes, inseticidas, germicidas e fungicidas"
50222925;"6FS INDUSTRIA E COMERCIO DE TINTAS E REVESTIMENTOS LTDA";MINAS GERAIS;2025;dentro;"Fabricação de tintas, esmaltes, lacas, vernizes, impermeabilizantes, solventes e secantes"
73163925;"A C D G INDUSTRIA E COMERCIO DE ENVAZADOS LTDA";SAO PAULO;2024;dentro;"Fabricação de preparados para limpeza e polimento, desinfetantes, inseticidas, germicidas e fungicidas"
27175381;"A C R INDÚSTRIA E COMÉRCIO DE ADITIVOS INDUSTRIAIS LT";SAO PAULO;2025;dentro;"Produção de substâncias e fabricação de produtos químicos"
37827440;"A F LIMA INDUSTRIAL LTDA";CEARA;2025;dentro;"Fabricação de preparados para limpeza e polimento, desinfetantes, inseticidas, germicidas e fungicidas"
14006603;"A G DE MELO E CIA LTDA. ME";PARANA;2025;dentro;"Fabricação de tintas, esmaltes, lacas, vernizes, impermeabilizantes, solventes e secantes"
27187941;"A. FONTES DE SOUZA EIRELI";AMAZONAS;2024;dentro;"Produção de substâncias e fabricação de produtos químicos"
07728834;"A. NETTO MASIERO - AGUIA PRODUTOS DE LIMPEZA";SAO PAULO;2025;dentro;"Fabricação de preparados para limpeza e polimento, desinfetantes, inseticidas, germicidas e fungicidas"
30986022;"A. P. DE OLIVEIRA SILVA LTDA";PARANA;2025;dentro;"Fabricação de sabões, detergentes e velas"
11274893;"A.D.N. COMÉRCIO DE MÁQUINAS E EQUIPAMENTOS LTDA ME";SAO PAULO;2025;dentro;"Fabricação de combustíveis não derivados de petróleo"
03361178;"A.L.BERMUDEZ PRODUTOS DE LIMPEZA";SAO PAULO;2025;dentro;"Fabricação de preparados para limpeza e polimento, desinfetantes, inseticidas, germicidas e fungicidas"
11247117;"ABBA ESPECIALIDADES QUIMICAS EIRELI - EPP";PARANA;2025;dentro;"Prod. de substâncias e fab. de prod químicos - Res. CONAMA 463/2014 / Res. CONAMA 472/2015 | Produção de substâncias e fabricação de produtos químicos"
56998701;"ABBOTT LABORATORIOS DO BRASIL LTDA";SAO PAULO;2025;dentro;"Fabricação de produtos farmacêuticos e veterinários | Produção de substâncias e fabricação de produtos químicos"
06252818;"ABENGOA BIOENERGIA AGROINDÚSTRIA LTDA.";SAO PAULO;2025;dentro;"Fabricação de fertilizantes e agroquímicos | Produção de álcool etílico, metanol e similares"
50886095;"ACELEN ENERGIA RENOVAVEL S.A.";MINAS GERAIS;2025;dentro;"Fabricação de combustíveis não derivados de petróleo"
55738205;"ACGL SOLUCOES AMBIENTAIS LTDA";MINAS GERAIS;2025;dentro;"Fabricação de fertilizantes e agroquímicos"
60659463;"ACHÉ LABORATÓRIOS FARMACÊUTICOS S/A";SAO PAULO;2025;dentro;"Fabricação de produtos farmacêuticos e veterinários | Produção de substâncias e fabricação de produtos químicos"
29209618;"AÇO CORTEN INDÚSTRIA E COMÉRCIO DE TINTAS ESPECIAIS LTDA -ME";SAO PAULO;2023;dentro;"Fabricação de tintas, esmaltes, lacas, vernizes, impermeabilizantes, solventes e secantes"
71806491;"ACQUA PLUS PRODUTOS QUIMICOS LTDA";SAO PAULO;2024;dentro;"Produção de substâncias e fabricação de produtos químicos"
05231496;"ACQUAZUL INDUSTRIA E COMERCIO LTDA";MINAS GERAIS;2024;dentro;"Fabricação de preparados para limpeza e polimento, desinfetantes, inseticidas, germicidas e fungicidas"
75619056;"ACUCAR E ALCOOL BANDEIRANTES S/A";PARANA;2024;dentro;"Fabricação de combustíveis não derivados de petróleo | Produção de álcool etílico, metanol e similares"
51990778;"ACUCAR E ETANOL OSWALDO RIBEIRO DE MENDONCA SA";SAO PAULO;2025;dentro;"Fabricação de combustíveis não derivados de petróleo | Produção de álcool etílico, metanol e similares"
58239721;"ADD-CHEMICAL LTDA";GOIAS;2025;dentro;"Prod. de substâncias e fab. de prod químicos - Res. CONAMA 463/2014 / Res. CONAMA 472/2015"
73077299;"ADELBRAS INDUSTRIA E COMERCIO DE ADESIVOS LTDA";SAO PAULO;2022;dentro;"Fabricação de resinas e de fibras e fios artificiais e sintéticos e de borracha e  látex sintéticos"
11091524;"ADFERT ADITIVOS INDÚSTRIA E COMÉRCIO LTDA";MINAS GERAIS;2023;dentro;"Produção de substâncias e fabricação de produtos químicos | Fabricação de fertilizantes e agroquímicos | Prod. de substâncias e fab. de prod químicos - Res. CONAMA 463/2014 / Res. CONAMA 472/2015"
11238297;"ADG PRODUTOS PARA LIMPEZA LTDA - ME";SAO PAULO;2024;dentro;"fabricação de preparados para limpeza e polimento, desinfetantes, inseticidas, germicidas e fungicidas - saneantes de uso domissanitários | Fabricação de sabões, detergentes e velas | Fabricação de preparados para limpeza e polimento, desinfetantes, inseticidas, germicidas e fungicidas"
55980684;"ADIUM S.A";SAO PAULO;2025;dentro;"Fabricação de produtos farmacêuticos e veterinários | Produção de substâncias e fabricação de produtos químicos"
04760944;"ADRIANO DO AMARAL";PARANA;2024;dentro;"fabricação de preparados para limpeza e polimento, desinfetantes, inseticidas, germicidas e fungicidas - saneantes de uso domissanitários | Fabricação de preparados para limpeza e polimento, desinfetantes, inseticidas, germicidas e fungicidas"
34546695;"ADVIR INDÚSTRIA DE SANEANTES E COSMÉTICOS LTDA";PERNAMBUCO;2024;dentro;"Fabricação de sabões, detergentes e velas"
33790711;"AEL BRASIL INDÚSTRIAS QUÍMICAS E DESMONTES INTELIGENTES LTDA.";SAO PAULO;2022;dentro;"Fabricação de pólvora, explosivos, detonantes, munição para caça e esporto, fósforo de Segurança e artigos pirotécnicos"
12294010;"AGNALDO QUEIROZ CPF 82132313687";MINAS GERAIS;2025;dentro;"Fabricação de pólvora, explosivos, detonantes, munição para caça e esporto, fósforo de Segurança e artigos pirotécnicos"
46345535;"AGRIBIOL - BIOLÓGICOS AGRÍCOLAS LTDA. - ME";SAO PAULO;2025;dentro;"Fabricação de fertilizantes e agroquímicos"
42477903;"AGRIMOL SOLUCOES AGRICOLAS LTDA";SAO PAULO;2025;dentro;"Prod. de substâncias e fab. de prod químicos - Res. CONAMA 463/2014 / Res. CONAMA 472/2015"
09526494;"AGRO DKV PRODUÇÃO E COMERCIALIZAÇÃO DE PRODUTOS ORGANICOS E ASSESSORIA LTDA";SAO PAULO;2025;dentro;"Fabricação de fertilizantes e agroquímicos"
11035672;"AGRO SERRA INDUSTRIAL LTDA";MARANHAO;2024;dentro;"Fabricação de combustíveis não derivados de petróleo | Produção de álcool etílico, metanol e similares | Fabricação de produtos derivados do processamento de petróleo, de rochas betuminosas e da madeira"
08699104;"AGROCERA INDUSTRIA, COMERCIO E EXPORTACAO DE CERA VEGETAL LTDA";CEARA;2024;dentro;"Produção de óleos, gorduras, ceras, vegetais e animais, óleos essenciais, vegetais e produtos similares, da destilação da madeira"
20263546;"AGROCERA PIAUI INDUSTRIA COMERCIO E EXPORTACAO DE CERA VEGETAL LTDA";PIAUI;2024;dentro;"Produção de óleos, gorduras, ceras, vegetais e animais, óleos essenciais, vegetais e produtos similares, da destilação da madeira"
04722196;"AGRONN FERTILIZANTES LTDA";SAO PAULO;2024;dentro;"Fabricação de fertilizantes e agroquímicos"
05827977;"AGROPECUÁRIA JAYORO LTDA";AMAZONAS;2025;dentro;"Produção de álcool etílico, metanol e similares"
04165520;"AGROPECUARIA NOVO MILÊNIO";MATO GROSSO;2025;dentro;"Produção de álcool etílico, metanol e similares"
16617789;"AGROPEU AGRO INDUSTRIAL DE POMPEU SA";MINAS GERAIS;2025;dentro;"Produção de álcool etílico, metanol e similares | Fabricação de combustíveis não derivados de petróleo"
05301284;"AHJ RECICLAGEM DE PRODUTOS QUIMICOS LTDA EPP";SAO PAULO;2024;dentro;"Recuperação e refino de solventes, óleos minerais, vegetais e animais"
01709348;"AIQ DO BRASIL TRATAMENTO DE ÁGUAS LTDA.";PARANA;2024;dentro;"Produção de substâncias e fabricação de produtos químicos"
01858973;"AIRELA INDÚSTRIA FARMACÊUTICA LTDA";SANTA CATARINA;2025;dentro;"Fabricação de produtos farmacêuticos e veterinários | Produção de substâncias e fabricação de produtos químicos"
17796026;"AJBS DILUENTES - EIRELI";RIO GRANDE DO SUL;2024;dentro;"Fabricação de tintas, esmaltes, lacas, vernizes, impermeabilizantes, solventes e secantes | Recuperação e refino de solventes, óleos minerais, vegetais e animais"
05024664;"ALCA IND. E COM. DE PRODUTOS DE LIMPEZA LTDA-ME";SAO PAULO;2025;dentro;"Fabricação de sabões, detergentes e velas"
43545284;"ALCOESTE BIOENERGIA FERNANDÓPOLIS S.A.";SAO PAULO;2025;dentro;"Produção de álcool etílico, metanol e similares"
30974737;"ALCON CIA DE ALCOOL CONCEIÇÃO DA BARRA";ESPIRITO SANTO;2024;dentro;"Fabricação de combustíveis não derivados de petróleo"
61154480;"ALCOOL FERREIRA S/A";SAO PAULO;2024;dentro;"Produção de álcool etílico, metanol e similares"
08866762;"ALCOOL MORIAH S/A";SAO PAULO;2022;dentro;"Produção de álcool etílico, metanol e similares"
05627254;"ALCOOL QUÍMICA CANABRAVA S/A";RIO DE JANEIRO;2025;dentro;"Fabricação de combustíveis não derivados de petróleo"
15444904;"ALCOOLVALE S/A - ÁLCOOL E AÇÚCAR";MATO GROSSO DO SUL;2024;dentro;"Produção de álcool etílico, metanol e similares"
08693761;"ALEQUIS SANDRO CORREA SALASARIO";SANTA CATARINA;2023;dentro;"Fabricação de sabões, detergentes e velas"
04143999;"ALFA FOTO QUÍMICA INDÚSTRIA E COMÉRCIO LTDA. - EPP";SAO PAULO;2024;dentro;"Produção de substâncias e fabricação de produtos químicos"
03706368;"ALL SERVICE SERVIÇOS DE LUBRIFICAÇÃO INDUSTRIAL LTDA";MINAS GERAIS;2025;dentro;"Recuperação e refino de solventes, óleos minerais, vegetais e animais"
44476148;"ALLESNANO LTDA";PARANA;2024;dentro;"Produção de substâncias e fabricação de produtos químicos"
15313223;"ALLQUIM ADITIVOS INDUSTRIAIS LTDA EPP";SAO PAULO;2022;dentro;"Produção de substâncias e fabricação de produtos químicos"
33332123;"ALMON QUIMICA LTDA";RIO DE JANEIRO;2025;dentro;"Fabricação de preparados para limpeza e polimento, desinfetantes, inseticidas, germicidas e fungicidas"
04626505;"ALPS ARTEFATOS DE BAMBÚ LTDA";RIO DE JANEIRO;2025;dentro;"Fabricação de concentrados aromáticos naturais, artificiais e sintéticos | Fabricação de sabões, detergentes e velas | Fabricação de preparados para limpeza e polimento, desinfetantes, inseticidas, germicidas e fungicidas"
62000914;"ALQUILUB COMERCIO DE LUBRIFICANTES LTDA EPP";SAO PAULO;2023;dentro;"Fab. de prod deriv do processam. de petróleo, de rochas betumin e da madeira - Res CONAMA 362/2005: art. 2º, XIV"
42177850;"ALQUIMIA PRODUTOS PARA GALVANOPLASTIA LTDA";SAO PAULO;2024;dentro;"Produção de substâncias e fabricação de produtos químicos"
70242813;"ALTERNATIVA AGRO INDUSTRIAL LTDA";MARANHAO;2023;dentro;"Produção de álcool etílico, metanol e similares"
17672433;"ALUM INDUSTRIA E COMERCIO DE INSUMOS PARA FUNDIÇÃO LTDA";SAO PAULO;2024;dentro;"Fabricação de combustíveis não derivados de petróleo"
